product_id,Overall Rating,Description Word Count
SKU: #7677470,5,128
SKU: #7677470,5,128
SKU: #7677470,5,128
SKU: #7494944,5,128
7294835,5,128
7498392,5,128
7744270,5,128
SKU: #7719295,5,128
113595,5,128
7397040,5,128
7294254,5,128
7294254,5,128
7277727,5,128
7183757,5,128
7655277,4,128
7294223,4,128
SKU: #7600107,4,128
SKU: #104730,3,128
SKU: #104730,3,128
SKU: #104730,3,128
SKU: #7313845,3,128
SKU: #7772636,3,128
104730,1,128
7600107,1,128
SKU: #7786442,1,128
SKU: #7801699,5,127
SKU: #7386618,5,127
SKU: #7658441,5,127
104730,5,127
SKU: #7687758,5,127
7443522,5,127
